"om","date","fips"
570339,2015-05-10,48467
566748,2015-05-10,5061
582218,2015-05-16,48000
582218,2015-05-16,40065
568447,2015-05-16,29095
579403,2015-05-16,40145
579409,2015-05-16,40131
571440,2015-05-24,17131
586930,2015-05-24,20119
582549,2015-05-25,40013
582556,2015-05-25,40005
575884,2015-05-25,48331
579438,2015-05-25,40127
579444,2015-05-25,40079
569765,2015-05-25,48401
581926,2015-05-27,48211
576437,2015-05-06,20089
581795,2015-05-06,40051
576454,2015-05-06,20089
576454,2015-05-06,20000
565780,2015-05-06,20173
576455,2015-05-06,31129
565934,2015-05-06,20157
565934,2015-05-06,20000
565934,2015-05-06,31169
565935,2015-05-06,20157
581866,2015-05-06,40109
582915,2015-05-06,48009
575796,2015-05-09,48133
573099,2015-05-09,20179
590568,2015-06-19,46093
580230,2015-06-22,19125
580234,2015-06-22,19135
590446,2015-06-22,17161
590631,2015-06-22,17103
572939,2015-06-22,26145
590644,2015-06-22,17063
575254,2015-06-27,38035
598035,2015-06-28,29183
574167,2015-06-04,8013
582849,2015-06-05,8063
595628,2015-07-12,27159
580031,2015-07-13,20159
597146,2015-07-16,17187
597164,2015-07-16,17187
593136,2015-07-16,17179
602300,2015-09-24,45019
614400,2016-10-14,41057
614389,2016-10-06,20169
614391,2016-10-06,20169
614417,2016-11-29,1059
614422,2016-11-29,1133
